model,model_image_url
Moonstone 2.3%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Moonstone_2.tgs
Sapphire 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Sapphire_2.tgs
Eve’s Apple 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Eves_Apple_0.tgs
Aquamarine 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Aquamarine_2.tgs
Ruby Fuchsite 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Ruby_Fuchsite_2.tgs
Red Ruby 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Red_Ruby_2.tgs
Blender 1.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Blender_1.tgs
Candy Flossite 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Candy_Flossite_2.tgs
Ammolite 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Ammolite_2.tgs
Crystal Punk 1.3%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Crystal_Punk_1.tgs
Arctite 1.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Arctite_1.tgs
Bogartite 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Bogartite_2.tgs
Ivy Vine 1.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Ivy_Vine_1.tgs
Elven Might 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Elven_Might_0.tgs
Gramite 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Gramite_2.tgs
Pure Silver 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Pure_Silver_2.tgs
Excalibrite 1.3%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Excalibrite_1.tgs
Nouveau Gold 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Nouveau_Gold_2.tgs
Fractured 1.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Fractured_1.tgs
Sunstone 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Sunstone_2.tgs
Muffin 1.3%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Muffin_1.tgs
Jurassic 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Jurassic_2.tgs
Labradorite 2.3%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Labradorite_2.tgs
