name,image_url
Marine Blue,
Electric Indigo,
Cappuccino,
Camo Green,
Dark Lilac,
Gunmetal,
Cobalt Blue,
Mustard,
Onyx Black,
Pacific Cyan,
Feldgrau,
Khaki Green,
Seal Brown,
Navy Blue,
Pine Green,
Steel Grey,
Shamrock Green,
Burgundy,
Battleship Grey,
English Violet,
Purple,
Carrot Juice,
Desert Sand,
Copper,
Grape,
Aquamarine,
Emerald,
Malachite,
Lemongrass,
Pure Gold,
Pacific Green,
Mint Green,
Raspberry,
Jade Green,
Black,
Old Gold,
Orange,
French Blue,
Tomato,
Lavender,
Carmine,
Coral Red,
Electric Purple,
Azure Blue,
French Violet,
Hunter Green,
Platinum,
Light Olive,
Persimmon,
Chestnut,
Deep Cyan,
Neon Blue,
Sky Blue,
Ivory White,
Midnight Blue,
Ranger Green,
Fire Engine,
Indigo Dye,
Celtic Blue,
Amber,
Pistachio,
Burnt Sienna,
Strawberry,
Tactical Pine,
Roman Silver,
Caramel,
Turquoise,
Mystic Pearl,
Rosewood,
Rifle Green,
Dark Green,
Moonstone,
Sapphire,
Silver Blue,
Fandango,
Gunship Green,
Cyberpunk,
Chocolate,
Satin Gold,
Mexican Pink,
