name,image_url
Donut 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Donut_0_5.png
Anubis 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Anubis_0_7.png
Scorpion 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Scorpion_0_7.png
Crusader 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Crusader_0_4.png
Baphomet 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Baphomet_0_7.png
Toilet 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Toilet_0_7.png
Egg Basket 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Egg_Basket_0_7.png
Rose 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Rose_0_7.png
Okami Wolf 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Okami_Wolf_0_4.png
Hippo 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Hippo_0_4.png
Feather 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Feather_0_7.png
Fireman Hat 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Fireman_Hat_0_4.png
Rocket 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Rocket_0_4.png
Melon 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Melon_0_7.png
Flag 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Flag_0_4.png
Cricket Helmet 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Cricket_Helmet_0_2.png
Sword Fight 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Sword_Fight_0_4.png
Birthday Cake 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Birthday_Cake_0_2.png
Crystal Ball 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Crystal_Ball_0_7.png
Cone 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Cone_0_7.png
